Trial,category,sub_trial,x1,x2,x3,x4,x5,x6,x7,x8,average,average_circ,bincorrect,bincorrect_circ
1626,-55.0,376,-78,-44,10,-31,-43,-82,-73,-77,-52.25,-53.49595791439765,False,False
1627,-55.0,377,-49,-47,-72,-74,-71,-79,28,-73,-54.625,-58.12464315121835,False,False
1628,-55.0,378,-86,-77,-49,-39,-83,88,-77,75,-31.0,-54.800560080402846,False,False
1629,-55.0,379,-80,-41,-43,-61,80,-37,-71,-76,-41.125,-52.08603704569575,False,False
1630,-55.0,380,-89,-65,-75,52,-85,-42,8,-78,-46.75,-53.92336875385047,False,False
1631,-55.0,381,-66,-65,-84,-35,-60,-38,-22,-42,-51.5,-51.45455075701034,False,False
1632,-55.0,382,1,0,-80,-81,-45,-71,-60,-62,-49.75,-51.0364945176664,False,False
1633,-55.0,383,-53,-89,-47,-54,-64,-18,-81,-15,-52.625,-52.77753065565162,False,False
1634,-55.0,384,-70,-16,-85,-83,23,-25,-85,-76,-52.125,-54.81269781054597,False,False
1635,-55.0,385,-34,-87,-81,-55,-68,-12,-19,-80,-54.5,-54.900827653702564,False,False
1636,-55.0,386,-74,-51,84,-7,-63,-85,-50,-89,-41.875,-54.66711370177637,False,False
1637,-55.0,387,-80,-81,-52,-7,-14,-89,-88,-52,-57.875,-58.825258489411624,False,False
1638,-55.0,388,-88,-81,-53,-57,-11,-80,-72,45,-49.625,-55.17282276207189,False,False
1639,-55.0,389,-81,-77,-63,-75,-52,77,-79,47,-37.875,-54.13040901241966,False,False
1640,-55.0,390,-78,-74,-71,-41,-2,-24,-46,-70,-50.75,-51.339465919783066,False,False
1641,-55.0,391,-75,-58,28,-90,89,-84,-86,-5,-35.125,-50.13156755654106,False,False
1642,-55.0,392,-89,-30,-80,-51,-38,-46,-63,87,-38.75,-50.69166281586058,False,False
1643,-55.0,393,-65,-23,-77,2,-66,-89,-57,-55,-53.75,-54.714650946686874,False,False
1644,-55.0,394,-59,-90,-10,69,-88,-80,-83,16,-40.625,-50.33173387580001,False,False
1645,-55.0,395,-82,-59,87,2,-53,-88,-28,-83,-38.0,-50.590857332305035,False,False
1646,-55.0,396,-74,-88,-76,-87,-90,-25,10,-30,-57.5,-59.37270921446135,False,False
1647,-55.0,397,-83,-46,-68,-25,-76,1,-64,-84,-55.625,-56.69064513849419,False,False
1648,-55.0,398,-68,-57,-81,-62,-63,-18,3,-77,-52.875,-54.065506398294474,False,False
1649,-55.0,399,4,-23,-51,-53,-85,-73,-77,-38,-49.5,-50.138808565928855,False,False
1650,-55.0,400,-78,-83,-76,-64,40,-88,-40,20,-46.125,-51.97474676151063,False,False
1651,-55.0,401,-73,-83,-36,81,-76,85,-60,-90,-31.5,-56.906401952443986,False,False
1652,-55.0,402,-79,-76,-75,-76,85,-57,-71,7,-42.75,-57.66144493315416,False,False
1653,-55.0,403,-87,75,-74,-75,-81,-48,14,-64,-42.5,-54.686190871325394,False,False
1654,-55.0,404,-35,-17,-85,58,-84,-87,-79,-30,-44.875,-51.22261487714928,False,False
1655,-55.0,405,-20,-81,-38,-29,65,-75,-89,-76,-42.875,-50.323927702529346,False,False
1656,-55.0,406,-77,-54,-36,-67,-24,-73,-53,-55,-54.875,-54.98935489721974,False,False
1657,-55.0,407,-84,-79,-89,-52,26,-54,81,-59,-38.75,-52.373905452820026,False,False
1658,-55.0,408,-19,-30,-83,-49,-76,-76,-52,-28,-51.625,-51.61239225350013,False,False
1659,-55.0,409,-45,-75,-47,74,-86,-84,-71,-52,-48.25,-59.545649296197084,False,False
1660,-55.0,410,-89,-83,-61,-45,84,-51,86,-75,-29.25,-54.25081034841085,False,False
1661,-55.0,411,-75,71,-77,-52,1,-70,-86,-89,-47.125,-58.744961820176115,False,False
1662,-55.0,412,-84,81,-89,-60,-84,-83,13,78,-28.5,-50.537256474826364,False,False
1663,-55.0,413,-80,-39,-56,-70,82,26,-85,-83,-38.125,-51.834154265409325,False,False
1664,-55.0,414,-64,-85,-72,-8,-49,-55,-87,32,-48.5,-51.81160934115698,False,False
1665,-55.0,415,-50,-64,48,-90,-62,68,-83,-67,-37.5,-50.6595371128152,False,False
1666,-55.0,416,-85,-83,48,-58,65,-88,-82,-43,-40.75,-54.662439701049166,False,False
1667,-55.0,417,-41,-72,-19,-53,-90,-54,-36,-73,-54.75,-54.74882680435006,False,False
1668,-55.0,418,-54,-17,-39,-78,-9,-38,-84,-86,-50.625,-50.70312508436683,False,False
1669,-55.0,419,-70,-69,-40,-45,-28,-77,-38,-87,-56.75,-56.727142761460144,False,False
1670,-55.0,420,-82,-7,-78,-64,24,-57,-72,-59,-49.375,-52.17244305308928,False,False
1671,-55.0,421,39,-83,-67,-2,-89,-51,-79,-89,-52.625,-58.230684694406065,False,False
1672,-55.0,422,-45,-26,-65,-86,55,-79,-61,-89,-49.5,-56.51269476954623,False,False
1673,-55.0,423,-69,-86,-81,-68,-57,-14,-9,-47,-53.875,-54.523403672207294,False,False
1674,-55.0,424,-49,49,-58,-79,21,-80,-83,-82,-45.125,-52.540584975836296,False,False
1675,-55.0,425,-48,76,-86,-86,-36,-85,-78,80,-32.875,-55.162413823082375,False,False
1676,-55.0,426,-65,-56,-49,-67,-59,-50,-65,7,-50.5,-51.65971461059752,False,False
1677,-55.0,427,-64,-76,-72,-9,-66,-35,-87,11,-49.75,-51.210321223884876,False,False
1678,-55.0,428,10,-75,-31,-3,-71,-69,-89,-75,-50.375,-52.045068857781516,False,False
1679,-55.0,429,-55,-60,-78,-66,-83,-78,54,-38,-50.5,-57.63115392365796,False,False
1680,-55.0,430,-83,-77,-22,-22,-44,-89,-70,7,-50.0,-50.74529087974628,False,False
1681,-55.0,431,-75,-5,-71,7,-89,-83,-35,-57,-51.0,-52.338508194519235,False,False
1682,-55.0,432,-72,-83,-53,78,-82,-72,-51,73,-32.75,-53.487373435062224,False,False
1683,-55.0,433,-72,-84,-67,-14,-70,-80,-23,21,-48.625,-50.70827289255695,False,False
1684,-55.0,434,-90,-37,-59,-57,-52,-83,-78,68,-48.5,-58.215015155872294,False,False
1685,-55.0,435,-63,-19,-51,58,-54,-65,-79,-79,-44.0,-50.68459882885375,False,False
1686,-55.0,436,-74,-19,86,-49,-80,-73,-57,-54,-40.0,-52.5735399442478,False,False
1687,-55.0,437,77,-44,34,-87,-69,-90,-67,-71,-39.625,-53.77606264193078,False,False
1688,-55.0,438,-80,-43,-41,-88,-89,-82,86,-18,-44.375,-58.15386786260663,False,False
1689,-55.0,439,-21,-76,-40,62,-82,-89,-59,-53,-44.75,-52.108668485365826,False,False
1690,-55.0,440,-41,-40,-20,33,-90,-87,-90,-61,-49.5,-52.33311243729031,False,False
1691,-55.0,441,45,-72,57,-64,-88,-88,-45,-64,-39.875,-50.56743094955536,False,False
1692,-55.0,442,-42,-73,-78,-86,-25,-68,-61,32,-50.125,-53.44144118780805,False,False
1693,-55.0,443,-17,-90,-19,-89,-41,-90,-80,-11,-54.625,-54.904830280856544,False,False
1694,-55.0,444,-71,-89,-75,-64,88,-62,26,-81,-41.0,-58.502738784653204,False,False
1695,-55.0,445,-50,-62,-33,-78,-82,-90,-34,-9,-54.75,-55.005568580856675,False,False
1696,-55.0,446,-56,-89,-90,-58,-86,79,-43,31,-39.0,-52.557046082305746,False,False
1697,-55.0,447,-85,-9,-82,-87,80,-58,-84,-42,-45.875,-58.887195786033615,False,False
1698,-55.0,448,-43,-73,-57,-31,-78,69,-74,-76,-45.375,-54.76354643194311,False,False
1699,-55.0,449,-63,-1,-76,-64,-89,33,-73,-67,-50.0,-54.28698162137036,False,False
1700,-55.0,450,22,-79,-78,-41,84,-79,-90,-70,-41.375,-56.89160484830755,False,False
1701,-55.0,451,-83,-62,-86,-18,-70,60,-49,-40,-43.5,-50.204762452023886,False,False
1702,-55.0,452,-69,-26,-56,80,16,-90,-86,-76,-38.375,-50.14307717510607,False,False
1703,-55.0,453,64,-51,-79,-90,-86,-11,-46,-78,-47.125,-55.905966340338296,False,False
1704,-55.0,454,-50,-89,-35,-35,-57,-7,-85,-70,-53.5,-53.71650784960619,False,False
1705,-55.0,455,-76,-88,-71,-55,-13,-65,-9,-76,-56.625,-57.60200399266968,False,False
1706,-55.0,456,-89,60,-56,-59,-18,-33,-75,-87,-44.625,-51.476221292581414,False,False
1707,-55.0,457,-85,-55,-44,-77,1,-51,-59,-69,-54.875,-55.75884343701489,False,False
1708,-55.0,458,-87,-83,-83,-6,-86,62,-71,52,-37.75,-50.49010160941236,False,False
1709,-55.0,459,-87,-79,-85,-84,22,-33,-66,25,-48.375,-52.816488201340306,False,False
1710,-55.0,460,-74,-51,-42,-86,-81,-16,-75,78,-43.375,-54.654878712589905,False,False
1711,-55.0,461,-39,-83,-61,-73,-89,-41,-81,65,-50.25,-59.744669221470616,False,False
1712,-55.0,462,-71,-86,-79,1,5,-76,-14,-80,-50.0,-51.6595554875025,False,False
1713,-55.0,463,-66,-60,-81,5,-32,-63,-88,-64,-56.125,-57.4134395832542,False,False
1714,-55.0,464,-73,-74,-24,-62,-55,-85,-69,78,-45.5,-57.44532081337819,False,False
1715,-55.0,465,-82,22,-84,11,-86,-86,0,-74,-47.375,-50.8088338227418,False,False
1716,-55.0,466,-88,19,-29,-88,-47,-36,-90,-43,-50.25,-51.44206138527514,False,False
1717,-55.0,467,-90,-79,28,-78,51,-28,-64,-89,-43.625,-51.4710297977897,False,False
1718,-55.0,468,-90,-60,-89,4,-86,-49,-26,-30,-53.25,-53.8684060561979,False,False
1719,-55.0,469,-50,-64,-89,-26,26,-71,-83,-28,-48.125,-50.19621367873063,False,False
1720,-55.0,470,-44,-22,-66,-17,-50,-88,-76,-57,-52.5,-52.59092263068845,False,False
1721,-55.0,471,-74,-69,14,-48,-78,-40,-20,-83,-49.75,-51.15983760389568,False,False
1722,-55.0,472,-71,-48,-18,-3,-58,-80,-83,-86,-55.875,-56.824556185224964,False,False
1723,-55.0,473,-49,-50,49,-9,-84,-88,-82,-76,-48.625,-54.6215099677553,False,False
1724,-55.0,474,-67,-58,-66,-52,-72,-26,49,-74,-45.75,-51.13606567725938,False,False
1725,-55.0,475,-80,-80,-89,-87,-43,79,-17,-59,-47.0,-59.74277721182355,False,False
1726,-55.0,476,-50,73,-35,-73,-68,-67,-81,-61,-45.25,-55.633079284041045,False,False
1727,-55.0,477,-58,-70,2,-71,-88,39,-85,-87,-52.25,-58.12580306179862,False,False
1728,-55.0,478,88,-78,-70,-65,-77,-41,-82,-3,-41.0,-55.20973159109637,False,False
1729,-55.0,479,54,-37,-79,-86,-83,-81,-74,78,-38.5,-57.18290019531662,False,False
1730,-55.0,480,-80,-78,-55,-40,57,-76,-56,-24,-44.0,-50.28697559653071,False,False
1731,-55.0,481,-85,-74,-88,-18,-33,-50,-41,-38,-53.375,-53.21341955990492,False,False
1732,-55.0,482,-65,8,-70,52,-87,-31,-86,-80,-44.875,-51.406796577272814,False,False
1733,-55.0,483,-15,-57,-81,-82,-6,-89,43,-82,-46.125,-50.58389430158786,False,False
1734,-55.0,484,-88,-83,-13,-55,-13,-61,-18,-82,-51.625,-51.94819916460733,False,False
1735,-55.0,485,-72,-17,12,-88,57,-73,-85,-82,-43.5,-51.083629823309195,False,False
1736,-55.0,486,-56,15,-78,-74,-55,-83,-84,34,-47.625,-52.59283806438266,False,False
1737,-55.0,487,-77,-60,-74,21,-72,-12,-84,-38,-49.5,-51.718046182791994,False,False
1738,-55.0,488,-11,-84,-88,-47,-29,-69,-64,-28,-52.5,-52.61716955532199,False,False
1739,-55.0,489,19,-83,-51,-78,-54,-74,34,-81,-46.0,-50.914245173327544,False,False
1740,-55.0,490,-43,-73,-83,-79,-23,-26,-78,-64,-58.625,-58.963800168681686,False,False
1741,-55.0,491,-20,-80,-87,-86,-89,-41,-65,40,-53.5,-58.62983876124433,False,False
1742,-55.0,492,-54,-10,-50,-57,-63,-77,-71,-17,-49.875,-50.32165499253844,False,False
1743,-55.0,493,74,-84,-78,-90,-67,2,-53,-78,-46.75,-59.183862919217304,False,False
1744,-55.0,494,-45,-72,11,-42,-60,-74,-86,-77,-55.625,-57.296000987772715,False,False
1745,-55.0,495,-62,-85,-53,-29,-87,-35,15,-72,-51.0,-52.39922821323101,False,False
1746,-55.0,496,-60,-39,83,-87,-84,-25,-82,-51,-43.125,-55.41626056883254,False,False
1747,-55.0,497,85,-67,-64,-65,-40,-70,-22,-84,-40.875,-53.38248745349772,False,False
1748,-55.0,498,-78,18,-86,-82,-53,-43,-46,-87,-57.125,-59.50821733231972,False,False
1749,-55.0,499,-67,-67,43,-61,-64,-40,-63,-68,-48.375,-53.22822809391785,False,False
1750,-55.0,500,72,-87,-87,-77,-79,-54,-45,9,-43.5,-54.49369677162579,False,False
1751,-55.0,501,-87,11,68,-41,-82,-60,-82,-62,-41.875,-51.355482455648314,False,False
1752,-55.0,502,-42,-49,-65,-82,-61,59,-88,-41,-46.125,-53.090003017907975,False,False
1753,-55.0,503,-89,-74,-84,-69,0,55,-66,-72,-49.875,-58.32011638639604,False,False
1754,-55.0,504,-44,-2,-68,-50,18,-82,-83,-74,-48.125,-50.13437773676057,False,False
1755,-55.0,505,-82,-89,-20,28,-78,-66,-18,-60,-48.125,-50.62835686790672,False,False
1756,-55.0,506,87,-82,-86,-45,8,-48,-58,-74,-37.25,-50.12317772260073,False,False
1757,-55.0,507,-57,-78,-32,-85,-74,-78,79,85,-30.0,-53.45462239578042,False,False
1758,-55.0,508,-84,-77,-46,-76,-10,-50,-84,10,-52.125,-53.684405999338566,False,False
1759,-55.0,509,-22,37,-58,-66,-81,-62,-75,-69,-49.5,-53.636870869537105,False,False
1760,-55.0,510,-61,-39,-61,-86,-50,-48,-10,-45,-50.0,-50.10483577005627,False,False
1761,-55.0,511,-52,-47,-64,-70,-74,-70,-50,-33,-57.5,-57.5500245960376,False,False
1762,-55.0,512,-61,-27,-16,-47,-57,-39,-68,-88,-50.375,-50.34091924668587,False,False
1763,-55.0,513,-79,-36,77,-83,14,-83,-52,-84,-40.75,-52.52589385921269,False,False
1764,-55.0,514,-58,53,-60,-50,-70,-61,-81,-55,-47.75,-54.150407375198455,False,False
1765,-55.0,515,-70,-77,-34,-79,-86,-3,-63,63,-43.625,-51.6567730073603,False,False
1766,-55.0,516,-37,-40,-81,-7,-30,-65,-57,-88,-50.625,-50.70306762240003,False,False
1767,-55.0,517,-55,37,-89,-84,-78,-89,-54,83,-41.125,-58.7687540134239,False,False
1768,-55.0,518,-43,-81,-65,-74,-41,-75,17,-69,-53.875,-55.9878333789042,False,False
1769,-55.0,519,-7,-56,-58,-69,-67,-74,-42,-90,-57.875,-58.50631711877922,False,False
1770,-55.0,520,-52,47,-55,-74,-61,-89,-52,-83,-52.375,-58.340197505917885,False,False
1771,-55.0,521,-68,-39,-69,-68,-33,31,-56,-81,-47.875,-50.7783776844754,False,False
1772,-55.0,522,-38,-11,-82,-14,-59,-39,-85,-75,-50.375,-50.53787958643272,False,False
1773,-55.0,523,-88,-47,-79,17,-20,-78,-90,86,-37.375,-50.5345817472907,False,False
1774,-55.0,524,-69,-17,-82,29,-90,-73,-34,-67,-50.375,-53.378950679641974,False,False
1775,-55.0,525,-89,-39,-58,-59,-44,14,-76,-48,-49.875,-51.088324825970716,False,False
1776,-55.0,526,-84,44,-78,-73,-49,-54,-75,-52,-52.625,-58.199227647585474,False,False
1777,-55.0,527,-62,-73,-86,-45,51,6,-82,-69,-45.0,-51.407200047980695,False,False
1778,-55.0,528,60,-30,88,-86,-64,-78,-72,-89,-33.875,-54.77041544890322,False,False
1779,-55.0,529,-86,-79,53,75,-79,-4,-85,-74,-34.875,-50.34011918044854,False,False
1780,-55.0,530,-79,-44,-21,-70,-68,-28,-65,-34,-51.125,-51.18634208175237,False,False
1781,-55.0,531,25,-81,-86,33,-83,-63,-40,-67,-45.25,-50.32262309253318,False,False
1782,-55.0,532,-66,-62,-64,-70,4,-79,-71,-21,-53.625,-54.95146145419446,False,False
1783,-55.0,533,-83,-66,-42,-13,-6,-51,-72,-67,-50.0,-50.550198534101895,False,False
1784,-55.0,534,-81,-9,-84,-77,-51,-16,-83,-19,-52.5,-53.00567849173332,False,False
1785,-55.0,535,63,-42,-31,-78,-71,-74,-89,-55,-47.125,-55.344201115465026,False,False
1786,-55.0,536,-74,-80,-25,-76,-68,-38,51,-53,-45.375,-50.8546435381096,False,False
1787,-55.0,537,-75,-71,-41,49,-73,-86,-23,-51,-46.375,-51.628242242701475,False,False
1788,-55.0,538,-90,6,-78,-70,-76,-6,-68,-17,-49.875,-51.16513726910267,False,False
1789,-55.0,539,-84,-45,-12,-53,-82,53,-69,-82,-46.75,-53.03607289270897,False,False
1790,-55.0,540,-84,-76,-88,-55,-36,-67,77,65,-33.0,-50.59559578236852,False,False
1791,-55.0,541,-35,-60,83,-61,-78,-82,3,-86,-39.5,-51.729603533613556,False,False
1792,-55.0,542,-84,-39,-60,13,-79,-79,88,-63,-37.875,-51.93250851007733,False,False
1793,-55.0,543,-1,-63,-71,-63,-90,-73,-76,21,-52.0,-55.13831933243691,False,False
1794,-55.0,544,-83,-30,-90,-87,-32,-26,-64,12,-50.0,-50.77949670296897,False,False
1795,-55.0,545,23,-65,-79,64,-70,-47,-81,-87,-42.75,-53.01600564107012,False,False
1796,-55.0,546,-39,13,-76,-43,-63,-83,-37,-83,-51.375,-52.66766448060372,False,False
1797,-55.0,547,-81,-77,-28,-83,3,27,-71,-66,-47.0,-50.000558168208755,False,False
1798,-55.0,548,-88,-77,-29,-60,1,73,-61,-90,-41.375,-51.08370903528541,False,False
1799,-55.0,549,32,-64,-68,-82,-62,-31,-78,-77,-53.75,-57.727281390148875,False,False
1800,-55.0,550,84,-49,-35,-80,-54,-59,-53,-88,-41.75,-53.85887941427664,False,False
1801,-55.0,551,-88,-15,-66,-87,-81,-76,75,-7,-43.125,-54.027281297943276,False,False
1802,-55.0,552,-51,-83,-52,-73,-65,-48,30,-89,-53.875,-57.30952577353628,False,False
1803,-55.0,553,-33,-89,-82,-53,80,41,-70,-86,-36.5,-51.019954964299245,False,False
1804,-55.0,554,-86,-26,-43,-37,5,-89,-65,-70,-51.375,-52.022099630679136,False,False
1805,-55.0,555,63,-70,-2,-67,-90,-65,-62,-65,-44.75,-53.31703531902306,False,False
1806,-55.0,556,-90,-67,-15,-53,-80,42,-77,-80,-52.5,-58.06640168392481,False,False
1807,-55.0,557,-77,26,-89,-63,-68,-12,-86,-76,-55.625,-59.48219989013674,False,False
1808,-55.0,558,-13,-69,-62,-72,-27,-81,-58,-50,-54.0,-54.39241040718889,False,False
1809,-55.0,559,84,-66,-30,-37,-73,-75,-81,-56,-41.75,-54.12190789014352,False,False
1810,-55.0,560,-68,69,-73,-87,29,-30,-89,-78,-40.875,-52.32565804587152,False,False
1811,-55.0,561,-89,71,-88,-64,-53,-74,78,-46,-33.125,-53.06527171007116,False,False
1812,-55.0,562,-54,-48,-81,-60,-89,12,-4,-67,-48.875,-50.365278416037995,False,False
1813,-55.0,563,-80,-60,-21,-63,-71,-53,-72,49,-46.375,-51.8911470852407,False,False
1814,-55.0,564,-60,82,-73,28,-64,-72,-79,-58,-37.0,-50.91989666944207,False,False
1815,-55.0,565,-67,-41,-84,-62,-84,-81,13,35,-46.375,-50.86314396498952,False,False
1816,-55.0,566,-84,-52,78,-68,-56,-88,-78,36,-39.0,-53.58804027308426,False,False
1817,-55.0,567,-57,4,-65,-80,-74,-8,-30,-88,-49.75,-50.698968034842466,False,False
1818,-55.0,568,-60,-62,-78,-5,-77,-85,44,-40,-45.375,-50.002590721868756,False,False
1819,-55.0,569,-26,29,-64,-60,-79,-31,-87,-67,-48.125,-50.696323800878815,False,False
1820,-55.0,570,-68,-69,-29,-38,-36,-75,-70,-89,-59.25,-59.362259569510215,False,False
1821,-55.0,571,8,-69,-74,-74,-45,-90,76,-68,-42.0,-53.65384831972271,False,False
1822,-55.0,572,-65,-86,-14,35,-71,-81,-75,-65,-52.75,-57.35384612793111,False,False
1823,-55.0,573,-74,-21,-78,-55,55,-87,-76,-77,-51.625,-59.53033438139482,False,False
1824,-55.0,574,33,-46,-90,-89,-74,-59,-52,-59,-54.5,-58.37391101798187,False,False
1825,-55.0,575,-87,-78,-90,46,-60,-82,-36,10,-47.125,-53.19492199175296,False,False
1826,-55.0,576,-63,-39,-89,-1,-82,-84,-77,82,-44.125,-57.63319993632764,False,False
1827,-55.0,577,-73,-26,-65,-71,-30,-38,-72,-86,-57.625,-57.81268634963469,False,False
1828,-55.0,578,-39,-89,1,-89,11,-73,-85,-87,-56.25,-59.018530160889284,False,False
1829,-55.0,579,-69,-62,-52,-65,-67,-63,57,-54,-46.875,-54.014950362341864,False,False
1830,-55.0,580,12,-29,-72,-53,-55,-89,-78,-81,-55.625,-57.383121646501195,False,False
1831,-55.0,581,-20,-86,-83,65,72,-90,-72,-59,-34.125,-50.70091238564635,False,False
1832,-55.0,582,-43,86,-84,-87,68,-44,-57,-87,-31.0,-51.09614077574358,False,False
1833,-55.0,583,-27,-67,-89,-39,-70,-32,-73,-77,-59.25,-59.42359381585594,False,False
1834,-55.0,584,-43,-90,-72,-14,-73,-57,-54,-34,-54.625,-54.76804577838118,False,False
1835,-55.0,585,-75,-90,2,-73,-61,-76,70,-57,-45.0,-55.65978781914119,False,False
1836,-55.0,586,-78,-36,2,-69,-80,-75,30,-73,-47.375,-50.85421990691327,False,False
1837,-55.0,587,-10,-71,5,-85,-75,-62,-32,-77,-50.875,-52.061999419207865,False,False
1838,-55.0,588,-77,-26,85,-8,-86,-76,-55,-85,-41.0,-53.81749772998509,False,False
1839,-55.0,589,-90,-2,50,-87,-68,-66,-61,-64,-48.5,-55.15081316247391,False,False
1840,-55.0,590,-56,-35,-84,-78,-53,-31,7,-88,-52.25,-53.11459752803597,False,False
1841,-55.0,591,-68,-69,-68,-45,86,-89,-22,-62,-42.125,-55.25027866356338,False,False
1842,-55.0,592,-86,-67,-34,-85,-25,-53,-45,-26,-52.625,-52.442182843846524,False,False
1843,-55.0,593,-85,-79,-64,-63,65,-68,-65,20,-42.375,-52.584171578749476,False,False
1844,-55.0,594,-54,-79,-50,-80,-28,-51,-87,58,-46.375,-53.23767884981453,False,False
1845,-55.0,595,-53,-52,43,-53,-84,-67,-64,-54,-48.0,-52.60044758697933,False,False
1846,-55.0,596,-75,-75,-13,6,-88,-67,-90,56,-43.25,-50.04179676073585,False,False
1847,-55.0,597,-78,-27,-82,-63,-22,-64,80,-69,-40.625,-51.64043098921897,False,False
1848,-55.0,598,-51,-70,-24,-58,84,-58,-75,-75,-40.875,-53.13673074471764,False,False
1849,-55.0,599,-60,41,-78,-83,-76,-40,-23,-77,-49.5,-54.074267651862584,False,False
1850,-55.0,600,-85,23,-39,2,-84,-90,-80,-66,-52.375,-55.737901831087385,False,False
1851,-55.0,601,65,-53,-80,-67,-44,-36,-75,-73,-45.375,-53.7461909859762,False,False
1852,-55.0,602,-20,-88,-53,15,-30,-89,-79,-55,-49.875,-51.04000151399072,False,False
1853,-55.0,603,70,-81,-87,-80,-67,54,-77,-66,-41.75,-59.92076483908481,False,False
1854,-55.0,604,-18,-70,-83,-35,-61,-64,-72,-20,-52.875,-53.161311485646195,False,False
1855,-55.0,605,-89,-74,19,-85,-77,-33,-68,-30,-54.625,-56.944631823684674,False,False
1856,-55.0,606,-45,27,-89,-68,-74,-85,-9,-75,-52.25,-55.615577014091414,False,False
1857,-55.0,607,-80,-76,-15,-57,-21,-65,-34,-63,-51.375,-51.635877682805216,False,False
1858,-55.0,608,-55,-65,-84,68,-40,-53,-68,-89,-48.25,-57.91911841967631,False,False
1859,-55.0,609,-88,-73,-83,-74,48,28,-77,-54,-46.625,-55.40989359921923,False,False
1860,-55.0,610,-74,-36,-62,-86,-61,28,-81,-72,-55.5,-59.08720338960657,False,False
1861,-55.0,611,-53,-55,-84,-42,13,-59,-72,-40,-49.0,-50.207013511008256,False,False
1862,-55.0,612,-68,-31,-90,7,-59,-38,-82,-82,-55.375,-56.6093393233634,False,False
1863,-55.0,613,-77,67,-42,-75,-67,-36,-75,-84,-48.625,-58.33775990853766,False,False
1864,-55.0,614,-60,-86,-22,-64,76,-49,-83,-64,-44.0,-54.81180354656688,False,False
1865,-55.0,615,-80,-45,-52,-76,70,-78,-50,-68,-47.375,-57.4651937401421,False,False
1866,-55.0,616,-78,-57,-56,-25,-10,-68,-90,-57,-55.125,-55.54577378176376,False,False
1867,-55.0,617,-84,-68,-57,-31,-85,-39,-76,-34,-59.25,-59.31252018812587,False,False
1868,-55.0,618,-87,-84,-35,-60,-66,18,-57,-49,-52.5,-54.37747125850126,False,False
1869,-55.0,619,-81,-69,64,-45,-16,-45,-71,-90,-44.125,-51.884763587155305,False,False
1870,-55.0,620,-81,-73,-64,-25,-76,-35,-20,-78,-56.5,-56.85785164517385,False,False
1871,-55.0,621,-73,-83,-33,-39,-40,-68,-21,-89,-55.75,-55.73858964029857,False,False
1872,-55.0,622,-69,-80,79,-86,-27,-75,-63,-15,-42.0,-53.258354174570115,False,False
1873,-55.0,623,-89,-81,-85,-21,55,-84,-87,71,-40.125,-57.775668897145536,False,False
1874,-55.0,624,-83,-15,-73,-47,-84,17,-30,-90,-50.625,-52.19220337836752,False,False
1875,-45.0,0,-82,-51,-25,34,-43,-61,-90,-47,-45.625,-48.1736268587114,False,False
1876,-45.0,1,-31,-71,-67,-66,87,-67,3,-62,-34.25,-46.123781230359555,False,False
1877,-45.0,2,-43,20,-57,-71,-67,-49,-30,-15,-39.0,-40.063743392184534,False,False
1878,-45.0,3,-59,-73,77,-81,-30,-76,77,-72,-29.625,-49.151234262091634,False,False
1879,-45.0,4,-24,-46,-25,-86,-32,50,-48,-90,-37.625,-40.509212449708855,False,False
1880,-45.0,5,-10,-90,-76,-83,-39,-39,85,-30,-35.25,-45.31668641684129,False,False
1881,-45.0,6,-42,-27,-77,9,-12,-41,-58,-73,-40.125,-40.47354832986716,False,False
1882,-45.0,7,-86,-77,-8,-80,56,-15,-31,-76,-39.625,-44.491736749129075,False,False
1883,-45.0,8,-28,-87,-51,-32,-12,-68,-84,36,-40.75,-42.69593996179216,False,False
1884,-45.0,9,-90,44,-75,-70,73,-78,34,-65,-28.375,-40.023025204429985,False,False
1885,-45.0,10,-38,85,-38,-89,-18,-77,-63,-33,-33.875,-43.619438718271624,False,False
1886,-45.0,11,-65,34,-89,-55,-65,-41,-46,-15,-42.75,-45.158958673413565,False,False
1887,-45.0,12,-57,21,-54,86,-79,-90,-88,3,-32.25,-43.78416925947519,False,False
1888,-45.0,13,-57,-58,-38,0,-81,-8,-16,-77,-41.875,-42.00739219293865,False,False
1889,-45.0,14,-76,-37,9,-57,-64,-79,-77,7,-46.75,-48.45363840061674,False,False
1890,-45.0,15,-66,-64,17,-35,85,-70,-24,-85,-30.25,-40.34069686979376,False,False
1891,-45.0,16,-25,-38,-83,-44,-22,12,-78,-81,-44.875,-45.31312014441352,False,False
1892,-45.0,17,-80,-69,75,-63,-46,-55,-55,60,-29.125,-42.91867069829769,False,False
1893,-45.0,18,-68,6,-65,-63,54,-78,-19,-70,-37.875,-43.123840138603555,False,False
1894,-45.0,19,-77,-63,11,-89,-23,48,-82,-31,-38.25,-41.91073290872208,False,False
1895,-45.0,20,-85,-5,34,-85,-63,-28,-76,-15,-40.375,-42.12656127655819,False,False
1896,-45.0,21,-36,-63,-57,-1,-85,-18,24,-86,-40.25,-41.22334389747445,False,False
1897,-45.0,22,-38,-38,-72,-60,-21,-4,-76,-50,-44.875,-45.06589646410555,False,False
1898,-45.0,23,-78,-20,-56,-65,17,-39,-14,-88,-42.875,-43.587543340487514,False,False
1899,-45.0,24,-13,-71,-2,-24,-11,-85,-70,-48,-40.5,-40.25790698687271,False,False
